fid,OBJECTID,sisid,sci_name,presence,origin,seasonal,source,compiler,yrcompiled,data_sens,sens_comm,dist_comm,tax_comm,generalisd,version,yrmodified,citation,Shape_Length,Shape_Area
"1158","3297","22689855",Nyctidromus anthonyi,"1","1","1","Ridgely, 2002; Holyoak, 2001; Schulenberg, 2007","TNC-Wings, 1999; NatureServe, 2002; Lynda Donaldson (BirdLife International)","2016","0",, ,Also known as Anthony's Nightjar.,"0","2022.1",2013,BirdLife International and Handbook of the Birds of the World,31.1486633360244,4.66935674493772
"1160","3299","22697259",Tigrisoma mexicanum,"1","1","1","Howell and Webb, 1995; Stiles and Skutch, 1989; Ridgely and Gwynne, 1989; Zook, 2002","NatureServe, 2002","2018","0",, , ,"0","2022.1",2002,BirdLife International and Handbook of the Birds of the World,222.400195595262,79.2681305643886
"1161","3300","22687632",Eupherusa eximia,"1","1","1","Stiles and Skutch, 1989; Ridgely and Gwynne, 1989; Zook, 2002","NatureServe, 2002","2016","0",, , ,"0","2022.1",2002,BirdLife International and Handbook of the Birds of the World,1.20233689621291,0.0575023088602195
"1162","3301","22687632",Eupherusa eximia,"1","1","1","Stiles and Skutch, 1989; Ridgely and Gwynne, 1989; Zook, 2002","NatureServe, 2002","2016","0",, , ,"0","2022.1",2002,BirdLife International and Handbook of the Birds of the World,29.098320025816,1.42296644441949
"1163","3302","22687632",Eupherusa eximia,"1","1","1","Stiles and Skutch, 1989; Ridgely and Gwynne, 1989; Zook, 2002","NatureServe, 2002","2016","0",, , ,"0","2022.1",2002,BirdLife International and Handbook of the Birds of the World,1.93070342350084,0.0625389962684769
"1164","3304","22685742",Eupsittula aurea,"1","1","1","Ridgley, 2003; Forshaw, 2006;Ridgely, 2002; Olmos et al. 2011","Rob Martin (BirdLife International), WWF-US, 2000; NatureServe, 2002","2016","0",, , ,"0","2022.1",2014,BirdLife International and Handbook of the Birds of the World,226.218266372379,482.54976471976
"1165","3305","22685748",Eupsittula cactorum,"1","1","1","Ridgely, 2002","TNC-Wings, 1999; NatureServe, 2002","2016","0",, , ,"0","2022.1",2002,BirdLife International and Handbook of the Birds of the World,42.6692201381851,98.7383192258773
"1166","3308","22685937",Forpus conspicillatus,"1","1","1","Ridgley, 2003; del Hoyo 1997; Juniper & Parr, 1998; Ridgely, 2002","NatureServe, 2002","2021","0",, , ,"0","2022.1",9999,BirdLife International and Handbook of the Birds of the World,71.0826856399705,26.278079980705
"1169","3320","22691893",Eurypyga helias,"1","1","1","Ridgely, 2002; Howell and Webb, 1995; Stiles and Skutch, 1989; Ridgely and Gwynne, 1989; Zook, 2002; Ridgely, 2002","NatureServe, 2002","2020","0",, , ,"0","2022.1",2006,BirdLife International and Handbook of the Birds of the World,374.482882115347,691.327249075067
"1170","3327","22687013",Eutoxeres aquila,"1","1","1","Ridgley, 2003, del Hoyo et al, 1999; Stiles and Skutch, 1989; Ridgely and Gwynne, 1989; Zook, 2002; Ridgely, 2002; Ridgely & Greenfield, 2001; Restall et al, 2006; Schulemberg et al, 2007","NatureServe, 2002; Lynda Donaldson (BirdLife International)","2016","0",, , ,"0","2022.1",2013,BirdLife International and Handbook of the Birds of the World,135.98948976753,25.0021727501566
"1171","3331","22687016",Eutoxeres condamini,"1","1","1","Ridgely, 2002","NatureServe, 2002","2016","0",, , ,"0","2022.1",2002,BirdLife International and Handbook of the Birds of the World,47.4079651806137,30.2553602892688
"1172","3332","22687016",Eutoxeres condamini,"3","1","1","Ridgely, 2002","NatureServe, 2002","2016","0",, , ,"0","2022.1",2002,BirdLife International and Handbook of the Birds of the World,1.41579940584789,0.1594743654819
"1173","3343","22696504",Falco mexicanus,"1","1","3","Ridgley, 2003; Ferguson-Lees, 2005; del Hoyo et al, 1994;Peterson, 1990; Rappole et al., 1983; Scott, 1983",WILDSPACETM 2002,"2016","0",, , ,"0","2022.1",2006,BirdLife International and Handbook of the Birds of the World,201.732278996604,149.178627458309
"1175","3357","22696457",Falco rufigularis,"1","1","1","Ridgely, 2002","WWF-US, 2000; NatureServe, 2002","2020","0",, , ,"0","2022.1",2002,BirdLife International and Handbook of the Birds of the World,2.73651318111773,0.0634333212152056
"1176","3358","22696457",Falco rufigularis,"1","1","1","Ridgely, 2002","WWF-US, 2000; NatureServe, 2002","2020","0",, , ,"0","2022.1",2002,BirdLife International and Handbook of the Birds of the World,1.58905061436025,0.0297246854753373
"1177","3359","22696457",Falco rufigularis,"1","1","1","Ridgely, 2002","WWF-US, 2000; NatureServe, 2002","2020","0",, , ,"0","2022.1",2002,BirdLife International and Handbook of the Birds of the World,30.7033487885076,4.63720989194483
"1178","3360","22696457",Falco rufigularis,"1","1","1","Ridgely, 2002","WWF-US, 2000; NatureServe, 2002","2020","0",, , ,"0","2022.1",2002,BirdLife International and Handbook of the Birds of the World,516.127527677869,1106.52096311886
"1180","3366","22696395",Falco sparverius,"1","1","3","Ridgely and Gwynne, 1989; Zook, 2002; de Boer et al, 2012","WILDSPACETM 2002; Hannah Wheatley (BirdLife International)","2016","0",, , ,"0","2022.1",2014,BirdLife International and Handbook of the Birds of the World,213.775522162285,97.2360639428975
"1181","3367","22696395",Falco sparverius,"1","1","1","Raffaele et al., 1998; Jaramillo, 2003; van Perlo, 2009; de Boer et al, 2012","Rob Martin (BirdLife International), WILDSPACETM 2002; Hannah Wheatley (BirdLife International)","2016","0",, , ,"0","2022.1",2014,BirdLife International and Handbook of the Birds of the World,1278.05408580111,1836.81287181628
"1182","3374","22687100",Florisuga fusca,"1","1","1","Ridgely, 2002","WWF-US, 2000; NatureServe, 2002","2016","0",, , ,"0","2022.1",2002,BirdLife International and Handbook of the Birds of the World,102.883548113624,59.8114486475395
"1183","3375","22687100",Florisuga fusca,"3","1","1","Ridgely, 2002","WWF-US, 2000; NatureServe, 2002","2016","0",, , ,"0","2022.1",2002,BirdLife International and Handbook of the Birds of the World,2.53405901852417,0.510957728994717
"1185","3377","22687097",Florisuga mellivora,"1","1","1","Howell and Webb, 1995; Stiles and Skutch, 1989; Ridgely and Gwynne, 1989; Zook, 2002; Ridgely, 2002","NatureServe, 2002","2021","0",, , ,"0","2022.1",2002,BirdLife International and Handbook of the Birds of the World,390.621590047312,660.744526379259
"1186","3378","22685940",Forpus modestus,"3","1","1","Ridgely, 2002","NatureServe, 2002","2016","0",, , ,"0","2022.1",2002,BirdLife International and Handbook of the Birds of the World,3.92160036592973,1.22374995602725
"1188","3382","103839796",Xenodacnis parina,"1","1","1","Ridgely, 2002; eBird 2016; Schulenberg, Stotz and Rico 2006","TNC-Wings, 1999; NatureServe, 2002; Rob Martin (BirdLife international)","2016","0",, , ,"0","2022.1",2016,BirdLife International and Handbook of the Birds of the World,42.7587955486725,4.62606130783192
"1190","3385","45428679",Forpus spengeli,"1","1","1","del Hoyo et al, 1997; Juniper & Parr, 1998; Ridgely, 2002; Ridgley, 2003; Forshaw 2006; Forshaw, 2010","WWF-US, 2000; NatureServe, 2002; Joe Taylor (BirdLife International)","2016","0",, , ,"0","2022.1",2013,BirdLife International and Handbook of the Birds of the World,7.78507141096641,2.13732133399483
"1193","3390","22698459",Fregetta tropica,"1","1","3","del Hoyo et al, 1992",BirdLife International,"2018","0",, , ,"0","2022.1",2006,BirdLife International and Handbook of the Birds of the World,2466.97520992749,19271.4035325251
"1194","3395","103888330",Pheugopedius schulenbergi,"1","1","1","eBird, 2016",Jacob Willmore (BirdLife International),"2016","0",, , ,"0","2022.1",2016,BirdLife International and Handbook of the Birds of the World,15.7161176866637,6.31028997741196
"1195","3404","22692940",Fulica rufifrons,"1","1","1","Taylor and van Perlo, 1998; Ridgely and Greenfield, 2001","WWF-US, 2000; NatureServe, 2002; Rob Martin (BirdLife International)","2016","0",, , ,"0","2022.1",2013,BirdLife International and Handbook of the Birds of the World,155.705484256353,123.392811714682
"1196","3406","22682167",Galbalcyrhynchus leucotis,"1","1","1","Ridgely, 2002; van Perlo, 2009; Schulenberg et al. 2007","Rob Martin (BirdLife International), NatureServe, 2002","2016","0",, , ,"0","2022.1",2014,BirdLife International and Handbook of the Birds of the World,35.2927783824249,39.0271546857018
"1197","3407","22682170",Galbalcyrhynchus purusianus,"1","1","1","Ridgely, 2002","NatureServe, 2002","2018","0",, , ,"0","2022.1",2002,BirdLife International and Handbook of the Birds of the World,31.8033163397004,67.5392615049294
"1198","3408","22727035",Galbula albirostris,"1","1","1","del Hoyo 2002; Restall et al, 2006; Hilty, 2003","Mia Derhe (BirdLife International); Hannah Wheatley (BirdLife International)","2016","0",, , ,"0","2022.1",2014,BirdLife International and Handbook of the Birds of the World,120.3764248949,153.078137157518
"1199","3409","22727043",Galbula chalcocephala,"1","1","1","del Hoyo 2002; Restall et al, 2006; Hilty, 2003; Hilty and Brown, 1986; de Oliveria Pinto, 1978","Rob Martin, Mia Derhe (BirdLife International); Hannah Wheatley (BirdLife International)","2016","0",, , ,"0","2022.1",2014,BirdLife International and Handbook of the Birds of the World,61.8505007528562,94.0378969104951
"1200","3410","22682212",Galbula cyanescens,"1","1","1","Ridgely, 2002","NatureServe, 2002","2016","0",, , ,"0","2022.1",2007,BirdLife International and Handbook of the Birds of the World,41.3179894408259,97.5937642588584
"1201","3411","22682221",Galbula dea,"1","1","1","Ridgely, 2002","NatureServe, 2002","2016","0",, , ,"0","2022.1",2007,BirdLife International and Handbook of the Birds of the World,180.820443618217,484.472149581504
"1202","3412","22682203",Galbula galbula,"1","1","1","Ridgely, 2002","NatureServe, 2002","2016","0",, , ,"0","2022.1",2002,BirdLife International and Handbook of the Birds of the World,80.4866601232733,156.949174123765
"1203","3413","22682218",Galbula leucogastra,"1","1","1","Ridgely, 2002; Schulenberg et al. 2007; CRAP, 2012; Hilty, 2003","Rob Martin (BirdLife International), NatureServe, 2002","2016","0",, , ,"0","2022.1",2014,BirdLife International and Handbook of the Birds of the World,114.289681661291,244.93961193248
"1204","3414","22682209",Galbula tombacea,"1","1","1","Ridgely, 2002","NatureServe, 2002","2016","0",, , ,"0","2022.1",2002,BirdLife International and Handbook of the Birds of the World,48.5474608273711,78.837822257005
"1205","3418","22722251",Thlypopsis pyrrhocoma,"1","1","1","Ridgely, 2002","TNC-Wings, 1999; NatureServe, 2002","2016","0",, , ,"0","2022.1",2002,BirdLife International and Handbook of the Birds of the World,52.2443308020327,55.1239656726459
"1207","3420","22682200",Galbula ruficauda,"1","1","1","Stiles and Skutch, 1989; Ridgely and Gwynne, 1989; Zook, 2002; Ridgely, 2002","NatureServe, 2002","2020","0",, , ,"0","2022.1",2007,BirdLife International and Handbook of the Birds of the World,410.372950054735,633.192161916122
"1208","3421","22682200",Galbula ruficauda,"3","1","1","Ridgley, 2003",BirdLife International,"2020","0",, , ,"0","2022.1",2007,BirdLife International and Handbook of the Birds of the World,0.313867438683087,0.00781858524884118
"1209","3430","22693115",Gallinago andina,"1","1","1","Ridgely, 2002","NatureServe, 2002","2016","0",, , ,"0","2022.1",2002,BirdLife International and Handbook of the Birds of the World,61.1696410747219,66.4059518069234
"1210","3435","22729867",Gallinago delicata,"1","1","3","Urban, 1986 ; Cramp, 1997; Mackinnon & Phillipps, 1997; Porter et al, 1997; Kenedy et al, 2000; Mackinnon & Phillipps, 2000; Robson, 2002; Ridgley, 2003; Rasmussen & Anderton, 2004",Joe Taylor (BirdLife International)/NatureServe,"2020","0",, , ,"0","2022.1",2013,BirdLife International and Handbook of the Birds of the World,990.128875508832,716.203057485439
"1211","3436","22693130",Gallinago imperialis,"1","1","1",BirdLife International,BirdLife International,"2016","0",, , ,"0","2022.1",1999,BirdLife International and Handbook of the Birds of the World,179.142487872754,5.23573126975535
"1212","3437","22693118",Gallinago nobilis,"1","1","1","Restall et al., 2006; McMullan et al., 2010",Joe Taylor (BirdLife International),"2016","0",, , ,"0","2022.1",2011,BirdLife International and Handbook of the Birds of the World,42.7106707100393,21.1510325810946
"1213","3438","22693130",Gallinago imperialis,"1","1","1",BirdLife International,BirdLife International,"2016","0",, , ,"0","2022.1",1999,BirdLife International and Handbook of the Birds of the World,10.0833298671738,1.15391485398133
"1214","3444","22693124",Gallinago jamesoni,"1","1","1","Ridgely, 2002; Restall et al, 2006","NatureServe, 2002; Joe Taylor (BirdLife International)","2016","0",, , ,"0","2022.1",2013,BirdLife International and Handbook of the Birds of the World,86.5329595487155,21.5708655699682
"1215","3453","22693121",Gallinago undulata,"1","1","1","Ridgely, 2002; McMullan et al, 2010","NatureServe, 2002; Joe Taylor (BirdLife International)","2016","0",, , ,"0","2022.1",2013,BirdLife International and Handbook of the Birds of the World,149.428164489628,220.237913612384
"1217","3472","62120280",Gallinula galeata,"1","1","3","Howell and Webb, 1995; Stiles and Skutch, 1989; Ridgely and Gwynne, 1989; Zook, 2002",NatureServe,"2016","0",, , ,"0","2022.1",2007,BirdLife International and Handbook of the Birds of the World,185.420937213442,80.7389072950178
"1218","3474","62120280",Gallinula galeata,"1","1","1","Peterson, 1980; Peterson, 1990; Rappole et al., 1995; Taylor & van Perlo, 1998; van Perlo, 2006; Garrigues & Dean, 2007; Angehr & Dean, 2010; eBird","Lynda Donaldson (BirdLife International); Hannah Wheatley (BirdLife International)","2016","0",, , ,"0","2022.1",2014,BirdLife International and Handbook of the Birds of the World,1242.68517912989,958.832615548449
"1221","3492","22687464",Goethalsia bella,"1","1","1",BirdLife International,BirdLife International,"2020","0",, , ,"0","2022.1",2007,BirdLife International and Handbook of the Birds of the World,2.12557489927566,0.0761905107778382
"1223","3496","22695025",Gampsonyx swainsonii,"1","1","1","Zook, 2002; AOU, 1998","Rob Martin (BirdLife International), WWF-US, 2000; NatureServe, 2002","2020","0",, , ,"0","2022.1",2013,BirdLife International and Handbook of the Birds of the World,398.118344508923,855.165980964494
"1224","3497","22684458",Geococcyx californianus,"1","1","1","Ridgley, 2003, del Hoyo et al, 1997; Poole and Gill, 1992","NatureServe, 2002","2016","0",, , ,"0","2022.1",2006,BirdLife International and Handbook of the Birds of the World,174.221809624513,284.364091317683
"1225","3498","22684461",Geococcyx velox,"1","1","1","Howell and Webb, 1995","NatureServe, 2002","2020","0",, , ,"0","2022.1",2002,BirdLife International and Handbook of the Birds of the World,78.3074413035619,44.264886227012
"1226","3501","22687464",Goethalsia bella,"1","1","1",BirdLife International,BirdLife International,"2020","0",, , ,"0","2022.1",2007,BirdLife International and Handbook of the Birds of the World,0.490318789144745,0.0135228298067416
"1227","3503","22684376",Piaya melanogaster,"1","1","1","Ridgely, 2002","NatureServe, 2002","2018","0",, , ,"0","2022.1",2002,BirdLife International and Handbook of the Birds of the World,94.4064516624567,395.298845536963
"1236","3538","22690966",Geotrygon montana,"1","1","1","Ridgley, 2003; Gibbs et al, 2001; del Hoyo et al, 1997; Ridgely, 2002; Sigrist 2006","WWF-US, 2000; NatureServe, 2002; Lynda Donaldson (BirdLife International)","2020","0",, , ,"0","2022.1",2013,BirdLife International and Handbook of the Birds of the World,584.69092191295,1100.5345440027
"1237","3539","22735520",Geranoaetus polyosoma,"1","1","1","Ridgely, 2002; Araya and Chester, 1993","WWF-US, 2000; NatureServe, 2002","2016","0",, , ,"0","2022.1",2008,BirdLife International and Handbook of the Birds of the World,833.340535791999,312.110651714771
"1242","3544","22728282",Geotrygon purpurata,"1","1","1","del Hoyo et al, 1997; Gibbs et al, 2001; Ridgely and Greenfield, 2001; Restall et al, 2006; McMullan et al, 2010",Joe Taylor (BirdLife International),"2020","0",, , ,"0","2022.1",2012,BirdLife International and Handbook of the Birds of the World,16.5819640040208,4.65102694051761
"1243","3545","22728277",Geotrygon saphirina,"1","1","1","Ridgely and Greenfield, 2001; Schulenberg et al, 2007; van Perlo, 2009; McMullan et al, 2010",Joe Taylor (BirdLife International),"2016","0",, , ,"0","2022.1",2012,BirdLife International and Handbook of the Birds of the World,52.6702560128067,46.4075252492651
"1244","3546","22695729",Geranospiza caerulescens,"1","1","1","Ridgley, 2003; Ferguson-Lees, 2005;Ridgely, 2002","WWF-US, 2000; NatureServe, 2002","2020","0",, , ,"0","2022.1",2006,BirdLife International and Handbook of the Birds of the World,562.369443375105,1197.83524977545
"1246","3550","22695906",Geranoaetus albicaudatus,"1","1","1","Sibley, 2000; Howell and Webb, 1995","WWF-US, 2000; NatureServe, 2002","2020","0",, , ,"0","2022.1",2002,BirdLife International and Handbook of the Birds of the World,10.9797270149099,1.56601806759633
"1247","3551","22695906",Geranoaetus albicaudatus,"1","1","1","Sibley, 2000; Howell and Webb, 1995","WWF-US, 2000; NatureServe, 2002","2020","0",, , ,"0","2022.1",2002,BirdLife International and Handbook of the Birds of the World,47.0333094782455,17.6737311478361
"1248","3552","22695906",Geranoaetus albicaudatus,"1","1","1","Sibley, 2000; Howell and Webb, 1995","WWF-US, 2000; NatureServe, 2002","2020","0",, , ,"0","2022.1",2002,BirdLife International and Handbook of the Birds of the World,27.617136216112,3.05771247263229
"1249","3553","22695906",Geranoaetus albicaudatus,"1","1","1","Sibley, 2000; Howell and Webb, 1995","WWF-US, 2000; NatureServe, 2002","2020","0",, , ,"0","2022.1",2002,BirdLife International and Handbook of the Birds of the World,293.458863896132,750.49456219503
"1250","3554","22695906",Geranoaetus albicaudatus,"1","1","1","Sibley, 2000; Howell and Webb, 1995","WWF-US, 2000; NatureServe, 2002","2020","0",, , ,"0","2022.1",2002,BirdLife International and Handbook of the Birds of the World,5.18120178160709,1.93417843457374
"1251","3556","22695906",Geranoaetus albicaudatus,"1","1","1","Sibley, 2000; Howell and Webb, 1995","WWF-US, 2000; NatureServe, 2002","2020","0",, , ,"0","2022.1",2002,BirdLife International and Handbook of the Birds of the World,59.2291635437105,27.9405384182045
"1253","3558","22695845",Geranoaetus melanoleucus,"1","1","1","Ridgely, 2002","WWF-US, 2000; NatureServe, 2002","2016","0",, , ,"0","2022.1",2002,BirdLife International and Handbook of the Birds of the World,869.537304954291,637.547151656628
"1254","3574","61815999",Glaucidium brasilianum,"1","1","1","Ridgley, 2003, del Hoyo et al, 1999; Sick 1993; Ridgely, 2002; Konig and Weick, 2008","WWF-US, 2000; NatureServe, 2002; Joe Taylor (BirdLife International)","2016","0",, , ,"0","2022.1",2014,BirdLife International and Handbook of the Birds of the World,512.978385349578,1209.02529886293
"1255","3580","61791597",Glaucidium cobanense,"1","1","1","eBird, 2013; Howell & Webb, 1995; Koenig & Weick, 2008; Mikkola, 2012",Rob Martin (BirdLife International),"2016","0",, , ,"0","2022.1",2013,BirdLife International and Handbook of the Birds of the World,17.4466033074624,5.75338835833462
"1256","3581","22729005",Glaucidium costaricanum,"1","1","1","Stiles and Skutch, 1989","NatureServe, 2002","2016","0",, ,"Recently shown to be distinct from Glaucidium jardinii (Robbins and Stiles, 1999; AOU, 2000).","0","2022.1",2002,BirdLife International and Handbook of the Birds of the World,7.29524007706649,0.874393671976168
"1257","3582","22689222",Glaucidium jardinii,"1","1","1","Ridgely, 2002","TNC-Wings, 1999; NatureServe, 2002","2016","0",, , ,"0","2022.1",2002,BirdLife International and Handbook of the Birds of the World,69.4251174012591,16.7903756450891
"1258","3584","61791135",Glaucidium gnoma,"1","1","1","eBird, 2013; Howell & Webb, 1995; Koenig & Weick, 2008; Mikkola, 2012",Rob Martin (BirdLife International),"2016","0",, , ,"0","2022.1",2013,BirdLife International and Handbook of the Birds of the World,81.2380828213214,52.0893762152711
"1259","3585","22729012",Glaucidium griseiceps,"1","1","1","Ridgely, 2002","NatureServe, 2002","2016","0",, , ,"0","2022.1",2002,BirdLife International and Handbook of the Birds of the World,42.6739079736467,16.9208587421552
"1260","3586","22729012",Glaucidium griseiceps,"1","1","1","Ridgely, 2002","TNC-Wings, 1999; NatureServe, 2002","2016","0",, , ,"0","2022.1",2002,BirdLife International and Handbook of the Birds of the World,1.97844170910851,0.214609081234826
"1261","3587","22729012",Glaucidium griseiceps,"1","1","1","Ridgely, 2002","TNC-Wings, 1999; NatureServe, 2002","2016","0",, , ,"0","2022.1",2002,BirdLife International and Handbook of the Birds of the World,43.6481077112292,5.57697863124605
"1262","3588","22689234",Glaucidium hardyi,"1","1","1","Ridgely, 2002; eBird, 2013, Mikkola, 2012","Rob Martin (BirdLife International), TNC-Wings, 1999; NatureServe, 2002","2018","0",, , ,"0","2022.1",2013,BirdLife International and Handbook of the Birds of the World,166.757775391093,384.909302295881
"1263","3591","22689253",Glaucidium peruanum,"1","1","1","Ridgely, 2002; Howell, 2002","NatureServe, 2002; Rob Martin (BirdLife International)","2016","0",, , ,"0","2022.1",2014,BirdLife International and Handbook of the Birds of the World,64.738231703576,27.7000320601756
"1264","3593","22724465",Glaucidium sanchezi,"1","1","1","Howell and Webb, 1995","NatureServe, 2002","2019","0",, , ,"0","2022.1",2002,BirdLife International and Handbook of the Birds of the World,8.63460711345841,2.39121696390138
"1266","3596","22724604",Glaucidium nubicola,"1","1","1",BirdLife International,BirdLife International,"2016","0",, , ,"0","2022.1",2003,BirdLife International and Handbook of the Birds of the World,18.5613342188605,0.314317479747564
"1270","3602","22686911",Glaucis hirsutus,"1","1","1","Ridgely, 2002","WWF-US, 2000; NatureServe, 2002","2021","0",, ,Name changed from Glaucis hirsuta for gender agreement (AOU 2004).,"0","2022.1",2002,BirdLife International and Handbook of the Birds of the World,72.9264637048883,36.6773100550164
"1271","3603","22686911",Glaucis hirsutus,"1","1","1","Ridgely, 2002","WWF-US, 2000; NatureServe, 2002","2021","0",, ,Name changed from Glaucis hirsuta for gender agreement (AOU 2004).,"0","2022.1",2002,BirdLife International and Handbook of the Birds of the World,224.626636549556,606.139854882424
"1272","3608","22687464",Goethalsia bella,"1","1","1",BirdLife International,BirdLife International,"2020","0",, , ,"0","2022.1",2007,BirdLife International and Handbook of the Birds of the World,0.307949892202829,0.00695271985528452
"1273","3609","22687461",Goldmania violiceps,"1","1","1","Ridgely and Gwynne, 1989; Angehr & Christian, 2000; Zook, 2002; Angehr & Dean, 2010; McMullan et al, 2010","NatureServe, 2002; Lynda Donaldson; Joe Taylor (BirdLife International)","2020","0",, , ,"0","2022.1",2013,BirdLife International and Handbook of the Birds of the World,5.29251234646386,0.234377930687701
"1274","3613","22720362",Spinus atriceps,"1","1","1","Howell and Webb, 1995","NatureServe, 2002","2020","0",, , ,"0","2022.1",2002,BirdLife International and Handbook of the Birds of the World,12.2105199935925,4.22111239111093
"1276","3619","22686172",Graydidascalus brachyurus,"1","1","1","Ridgely, 2002; Schulenberg et al. 2007","Rob Martin (BirdLife International), NatureServe, 2002","2016","0",, , ,"0","2022.1",2014,BirdLife International and Handbook of the Birds of the World,164.452893226092,53.6083454056181
"1277","3623","22720383",Spinus magellanicus,"1","1","1","Ridgely, 2002","WWF-US, 2000; NatureServe, 2002","2016","0",, , ,"0","2022.1",2002,BirdLife International and Handbook of the Birds of the World,223.003950619418,536.85219639741
"1278","3624","22688637",Psiloscops flammeolus,"1","1","1","Howell and Webb, 1995","NatureServe, 2002","2016","0",, , ,"0","2022.1",2002,BirdLife International and Handbook of the Birds of the World,28.4372386565969,16.3166220188003
"1281","3634","22720359",Spinus pinus,"1","1","1","Peterson, 1980; Peterson, 1990;Howell and Webb, 1995",WILDSPACETM 2002,"2016","0",, , ,"0","2022.1",2006,BirdLife International and Handbook of the Birds of the World,1484.30159011529,563.606191196574
"1282","3635","22720359",Spinus pinus,"1","1","3","Peterson, 1980; Peterson, 1990; Howell and Webb, 1995; Poole and Gill, 1992-;Peterson, 1980; Peterson, 1990","WILDSPACETM 2002; NatureServe, 2002","2016","0",, , ,"0","2022.1",2006,BirdLife International and Handbook of the Birds of the World,512.527949712087,644.334033294563
"1283","3637","22684441",Guira guira,"1","1","1","Ridgley, 2003, del Hoyo et al, 1999; Ridgely, 2002","WWF-US, 2000; NatureServe, 2002","2016","0",, , ,"0","2022.1",2006,BirdLife International and Handbook of the Birds of the World,241.207059976286,704.841756395448
"1285","3688","22686155",Hapalopsittaca melanotis,"1","1","1","Ridgely, 2002; Young, 2007; Schulenberg et al. 2007","Rob Martin (BirdLife International), TNC-Wings, 1999; NatureServe, 2007","2016","0",, , ,"0","2022.1",2014,BirdLife International and Handbook of the Birds of the World,21.2847932502496,3.24276057435975
"1286","3694","22682322",Hapaloptila castanea,"1","1","1","Ridgely, 2002; McMullen et al. 2010; Hilty & Brown, 1986; Schulenberg et al. 2007; Ridgely & Greenfield, 2001","Rob Martin (BirdLife International), TNC-Wings, 1999; NatureServe, 2002","2016","0",, , ,"0","2022.1",2014,BirdLife International and Handbook of the Birds of the World,45.5552224700526,2.59280326857506
"1287","3696","22733901",Haplophaedia assimilis,"1","1","1","Ridgely, 2002; Schulenberg et al. 2007;","Rob Martin (BirdLife International), NatureServe, 2002","2016","0",, ,Formerly considered a subspecies of Haplophaedia aureliae,"0","2022.1",2014,BirdLife International and Handbook of the Birds of the World,28.7429179416314,4.90726892516059
"1288","3702","60859997",Heliangelus amethysticollis,"1","1","1","Ridgely, 2002","NatureServe, 2002; Rob Martin (BirdLife International)","2016","0",, , ,"0","2022.1",2013,BirdLife International and Handbook of the Birds of the World,45.6028649969531,12.098980378621
"1289","3703","22686090",Pionopsitta pileata,"1","1","1","Ridgely, 2002","TNC-Wings, 1999; NatureServe, 2002","2018","0",, ,Also known as Pileated Parrot.,"0","2022.1",2002,BirdLife International and Handbook of the Birds of the World,91.7884001842244,65.7354487601291
"1290","3704","22733896",Haplophaedia aureliae,"1","1","1","Ridgely and Gwynne, 1989; Zook, 2002;Ridgely, 2002","NatureServe, 2002; Lynda Donaldson; Joe Taylor (BirdLife International)","2016","0",, ,"Does not include the form assimilis, which is now considered a distinct species.","0","2022.1",2013,BirdLife International and Handbook of the Birds of the World,44.2163122513732,6.3407938059179
"1292","3710","22686195",Pionus chalcopterus,"1","1","1","Ridgely, 2002; Hilty, 2003; Hilty & Brown, 1986; Ridgely & Greenfield, 2001; Schulenberg et al. 2007","Rob Martin (BirdLife International),TNC-Wings, 1999; NatureServe, 2002","2016","0",, , ,"0","2022.1",2014,BirdLife International and Handbook of the Birds of the World,66.3366663004225,12.9048386381151
"1293","3712","22688119",Heliactin bilophus,"1","1","1","del Hoyo et al, 1999; Restall et al, 2006; van Perlo, 2009","TNC-Wings, 1999; NatureServe, 2002; Joe Taylor (BirdLife International)","2016","0",, ,Name changed from Heliactin bilopha for gender agreement (David and Gosselin 2002).,"0","2022.1",2013,BirdLife International and Handbook of the Birds of the World,97.8188348937972,324.837909976728
"1294","3713","22686181",Pionus maximiliani,"1","1","1","Ridgely, 2002","WWF-US, 2000; NatureServe, 2002","2016","0",, , ,"0","2022.1",2002,BirdLife International and Handbook of the Birds of the World,147.733298705586,387.43694542913
"1295","3714","45429607",Pionus menstruus,"1","1","1","Ridgely & Gwynne, 1989; Stiles & Skutch, 1989; del Hoyo et al, 1997; Juniper & Parr, 1998; Ridgely, 2002; Zook, 2002; Ridgley, 2003; Forshaw, 2006; Forshaw, 2010","WWF-US, 2000; NatureServe, 2002; Joe Taylor (BirdLfe International)","2021","0",, , ,"0","2022.1",2013,BirdLife International and Handbook of the Birds of the World,375.664897108775,687.303775638331
"1296","3715","45429616",Pionus reichenowi,"1","1","1","Ridgely & Gwynne, 1989; del Hoyo et al, 1997; Juniper & Parr, 1998; Ridgely, 2002; Zook, 2002; Ridgley, 2003; Forshaw, 2006; Forshaw, 2010","WWF-US, 2000; NatureServe, 2002; Joe Taylor (BirdLife International)","2017","0",, , ,"0","2022.1",2013,BirdLife International and Handbook of the Birds of the World,34.6365062666761,11.242826755012
"1297","3717","22695060",Harpagus bidentatus,"1","1","1","Ridgely, 2002; Howell & Webb, 1995","Rob Martin (BirdLife International), WWF-US, 2000; NatureServe, 2002","2020","0",, , ,"0","2022.1",2014,BirdLife International and Handbook of the Birds of the World,442.705956449243,738.029124466186
